"No.","Time","Source","Destination","Protocol","Length","Info"
"14162","143.995192","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12901512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14163","143.995413","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12902912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14164","143.995476","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12904312 Win=65792 Len=0"
"14165","143.995746","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12904312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14166","144.000289","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12905712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14167","144.000354","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12907112 Win=65792 Len=0"
"14168","144.012102","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12907112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14169","144.063138","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12908512 Win=65792 Len=0"
"14170","144.152598","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12908512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14171","144.187537","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12909912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14172","144.187641","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12911312 Win=65792 Len=0"
"14173","144.199090","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"14174","144.199402","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12912712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14175","144.199437","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12914112 Win=65792 Len=0"
"14176","144.222324","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12914112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14177","144.265895","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12915512 Win=65792 Len=0"
"14178","144.273390","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12915512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14179","144.273390","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12916912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14180","144.273479","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12918312 Win=65792 Len=0"
"14181","144.273566","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12918312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14182","144.273851","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12919712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14183","144.273910","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12921112 Win=65792 Len=0"
"14184","144.278234","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12921112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14185","144.278505","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12922512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14186","144.278528","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12923912 Win=65792 Len=0"
"14187","144.290641","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12923912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14188","144.334306","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12925312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14189","144.334412","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12926712 Win=65792 Len=0"
"14190","144.345770","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12926712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14191","144.361874","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"14192","144.361963","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12929512 Win=65792 Len=0"
"14193","144.374952","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12929512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
